Timestamp (UTC),Inverter Serial,Port Number,DC Power (W),DC Voltage (V),Daily Energy (Wh)
2026-09-05T21:30:00Z,1420b03145c2,1,234.0,43.4,1455.0
2026-09-05T21:30:00Z,1420b03145c2,3,235.0,43.4,1408.0
2026-09-05T21:30:00Z,1420b03145c2,4,235.0,43.3,1284.0
2026-09-05T21:30:00Z,1420b0314618,1,128.0,42.8,1384.0
2026-09-05T21:30:00Z,1420b0314618,2,125.0,42.7,1355.0
2026-09-05T21:30:00Z,1420b0314618,3,125.0,43.2,1397.0
2026-09-05T21:30:00Z,1420b0314618,4,124.0,42.9,1403.0
2026-09-05T21:30:00Z,1420b03146bb,1,223.0,42.9,1609.0
2026-09-05T21:30:00Z,1420b03146bb,2,226.0,43.0,1416.0
2026-09-05T21:30:00Z,1420b03146bb,3,0.0,5.3,0.0
2026-09-05T21:30:00Z,1420b03146bb,4,228.0,43.2,1603.0
2026-09-05T21:30:00Z,1420b03146fc,1,60.0,42.0,1441.0
2026-09-05T21:30:00Z,1420b03146fc,2,58.0,41.9,1392.0
2026-09-05T21:30:00Z,1420b03146fc,3,60.0,41.8,1147.0
2026-09-05T21:30:00Z,1420b03146fc,4,61.0,42.4,1121.0
2026-09-05T21:30:00Z,1420b0314cf5,1,57.0,42.8,1546.0
2026-09-05T21:30:00Z,1420b0314cf5,2,55.0,42.5,1545.0
2026-09-05T21:30:00Z,1420b0314cf5,3,57.0,42.5,1559.0
2026-09-05T21:30:00Z,1420b0314cf5,4,55.0,42.3,1548.0
2026-09-05T21:30:00Z,1420b0314d19,1,218.0,42.8,1628.0
2026-09-05T21:30:00Z,1420b0314d19,2,220.0,43.1,1551.0
2026-09-05T21:30:00Z,1420b0314d19,3,0.0,4.0,0.0
2026-09-05T21:30:00Z,1420b0314d19,4,0.0,4.2,0.0
2026-09-05T21:30:00Z,1420b0314d25,1,61.0,42.9,1532.0
2026-09-05T21:30:00Z,1420b0314d25,2,55.0,41.6,1511.0
2026-09-05T21:30:00Z,1420b0314d25,3,62.0,44.2,1544.0
2026-09-05T21:30:00Z,1420b0314d25,4,55.0,41.7,1542.0
2026-09-05T21:30:00Z,1420b0314df9,1,230.0,43.4,1577.0
2026-09-05T21:30:00Z,1420b0314df9,2,228.0,43.1,1370.0
2026-09-05T21:30:00Z,1420b0314df9,3,228.0,43.4,1522.0
2026-09-05T21:30:00Z,1420b0314df9,4,228.0,43.5,1488.0
2026-09-05T21:30:00Z,1420b0314f85,1,101.0,43.0,1262.0
2026-09-05T21:30:00Z,1420b0314f85,2,104.0,42.8,1250.0
2026-09-05T21:30:00Z,1420b0314f85,3,100.0,42.7,1272.0
2026-09-05T21:30:00Z,1420b0314f85,4,101.0,42.9,1273.0
2026-09-05T21:30:00Z,1420b03150a1,1,12.0,15.9,561.0
2026-09-05T21:30:00Z,1420b03150a1,2,110.0,48.5,404.0
2026-09-05T21:30:00Z,1420b03150a1,3,120.0,43.2,1386.0
2026-09-05T21:30:00Z,1420b03150a1,4,99.0,45.0,1401.0
2026-09-05T21:30:00Z,1420b0315189,1,126.0,42.8,1373.0
2026-09-05T21:30:00Z,1420b0315189,2,125.0,42.8,1359.0
2026-09-05T21:30:00Z,1420b0315189,3,122.0,42.8,1385.0
2026-09-05T21:30:00Z,1420b0315189,4,120.0,43.0,1411.0
2026-09-05T21:30:00Z,1420b03153ec,1,69.0,46.5,1329.0
2026-09-05T21:30:00Z,1420b03153ec,2,120.0,42.8,1366.0
2026-09-05T21:30:00Z,1420b03153ec,3,121.0,43.0,1366.0
2026-09-05T21:30:00Z,1420b03153ec,4,122.0,43.0,1367.0
